City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Igrim,RU,63.1906,64.4162,1.17,97,100,4.59,overcast clouds
233,Mao,ES,39.8885,4.2658,55.96,88,75,3.44,broken clouds
234,Rudnichnyy,RU,59.617,52.4703,-9.35,99,83,4.61,broken clouds
235,Jalu,LY,29.0331,21.5482,58.41,38,85,2.51,overcast clouds
236,Sarakhs,IR,36.5449,61.1577,55.02,50,0,10.89,clear sky
237,Bereda,ES,43.2686,-7.5406,58.91,48,35,7.47,scattered clouds
238,Zabid,YE,14.1951,43.3152,78.75,68,22,2.91,few clouds
239,Derzhavinsk,KZ,51.1,66.3167,31.68,90,100,15.64,overcast clouds
240,Altay,CN,47.8667,88.1167,18.32,59,0,8.86,clear sky
241,Luderitz,NA,-26.6481,15.1594,67.69,71,0,9.69,clear sky
242,Barranca,PE,-10.75,-77.7667,73.11,68,47,9.98,scattered clouds
243,La Mana,EC,-0.9333,-79.2167,94.89,94,98,2.19,light rain
244,Santa Cruz,BO,-17.8,-63.1667,83.66,74,75,2.3,broken clouds
245,Busayra,JO,30.7376,35.6078,45.27,63,1,5.12,clear sky
246,Tripoli,LY,32.8752,13.1875,60.93,41,18,2.71,few clouds
247,Aktau,KZ,43.65,51.2,32.58,69,58,13.11,broken clouds
248,Sanford,US,28.8006,-81.2731,60.19,75,1,4.0,clear sky
249,Vilhena,BR,-12.7406,-60.1458,73.9,95,100,4.79,light rain
250,Carnarvon,AU,-24.8667,113.6333,71.67,83,40,19.57,scattered clouds
251,Medenychi,UA,49.4305,23.7507,25.41,93,97,6.62,overcast clouds
252,Santiago Del Estero,AR,-27.7951,-64.2615,94.37,35,88,14.27,overcast clouds
253,Rawson,AR,-43.3002,-65.1023,76.59,34,25,18.28,scattered clouds
254,Sar-E Pul,AF,35.8333,66.1667,43.52,86,98,1.59,overcast clouds
255,Nisia Floresta,BR,-6.0911,-35.2086,86.81,57,65,13.33,broken clouds
256,Maragogi,BR,-9.0122,-35.2225,84.06,68,100,13.65,overcast clouds
257,Hargeysa,SO,9.56,44.065,61.7,74,29,11.21,scattered clouds
258,Znamenskoye,RU,57.1281,73.8282,26.33,87,100,16.87,overcast clouds
259,Siavonga,ZM,-16.5382,28.7088,74.73,87,100,1.16,moderate rain
260,Muravlenko,RU,63.7898,74.523,21.7,91,100,23.38,overcast clouds
261,Jalingo,NG,8.8833,11.3667,85.8,20,31,5.77,scattered clouds
262,Tahta,EG,26.7693,31.5021,56.97,50,3,7.83,clear sky
263,Chicama,PE,-7.8447,-79.1469,66.74,61,16,9.55,few clouds
264,Arlit,NE,18.7369,7.3853,74.7,11,87,8.16,overcast clouds
265,Marsabit,KE,2.3284,37.9899,67.51,76,100,11.16,overcast clouds
266,Tefe,BR,-3.3542,-64.7114,88.83,62,100,2.98,moderate rain
267,Bandarbeyla,SO,9.4942,50.8122,77.86,72,32,16.69,scattered clouds
268,Manoel Urbano,BR,-8.8389,-69.2597,75.24,97,100,3.38,overcast clouds
269,Vestmanna,FO,62.1564,-7.1664,31.12,86,87,6.91,overcast clouds
270,Yushala,RU,57.0761,64.2601,13.75,92,100,9.89,overcast clouds
271,Tytuvenai,LT,55.6,23.2,10.31,94,8,3.74,clear sky
272,Barcelos,PT,41.5388,-8.6151,62.85,78,57,7.43,broken clouds
273,Umm Kaddadah,SD,13.6017,26.6876,68.23,15,5,13.96,clear sky
274,Plouzane,FR,48.3833,-4.6167,48.07,84,0,16.11,clear sky
275,Mizdah,LY,31.4451,12.9801,53.67,31,58,5.84,broken clouds
276,Villa Carlos Paz,AR,-31.4241,-64.4978,80.89,33,100,4.0,overcast clouds
277,Mwene-Ditu,CD,-7.0,23.45,68.9,93,100,2.89,light rain
278,Penaflor,CL,-33.6167,-70.9167,91.51,20,45,9.91,scattered clouds
279,Raga,SS,8.4596,25.678,79.11,23,43,4.9,scattered clouds
280,Qandala,SO,11.472,49.8728,76.32,73,69,4.99,broken clouds
281,Richards Bay,ZA,-28.783,32.0377,70.09,96,63,7.27,heavy intensity rain
282,Aksu,CN,41.1231,80.2644,27.21,45,71,3.38,broken clouds
283,Sur,OM,22.5667,59.5289,73.33,61,17,2.48,few clouds
284,Thompson,CA,55.7435,-97.8558,-22.77,95,38,2.44,scattered clouds
285,Sylacauga,US,33.1732,-86.2516,52.81,66,1,6.91,clear sky
286,Zaranj,AF,30.9667,61.8833,64.22,25,54,9.82,broken clouds
287,Dingle,PH,10.9995,122.6711,74.41,91,100,5.88,overcast clouds
288,Tikamgarh,IN,24.745,78.8333,57.85,34,0,4.97,clear sky
289,Koudougou,BF,12.25,-2.3667,89.26,12,86,12.08,overcast clouds
290,Zaraza,VE,9.3503,-65.3245,89.96,47,77,6.89,broken clouds
291,Kokkola,FI,63.8385,23.1307,19.92,94,90,1.99,light shower snow
292,Kem,RU,64.9555,34.5793,17.58,77,100,15.75,overcast clouds
293,Ipixuna,BR,-1.7625,-48.8043,82.35,43,70,6.62,broken clouds
294,Ivybridge,GB,50.3904,-3.9191,48.83,91,100,8.48,light rain
295,Havre-Saint-Pierre,CA,50.2334,-63.5986,17.92,69,88,15.08,overcast clouds
296,Kourou,GF,5.1552,-52.6478,77.05,98,100,9.53,moderate rain
297,Massakory,TD,12.996,15.7293,80.38,16,1,11.97,clear sky
298,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,73,95,16.55,overcast clouds
299,Dakoro,NE,14.5106,6.765,76.19,17,45,10.65,scattered clouds
300,Chimoio,MZ,-19.1164,33.4833,70.02,93,85,2.77,moderate rain
301,Cordele,US,31.9635,-83.7824,56.1,58,1,9.22,clear sky
302,Bam,IR,29.106,58.357,61.11,40,33,7.09,scattered clouds
303,Salalah,OM,17.0151,54.0924,75.29,73,0,2.3,clear sky
304,Shiraz,IR,29.6036,52.5388,51.4,39,91,4.45,overcast clouds
305,Pisco,PE,-13.7,-76.2167,72.01,83,20,11.5,few clouds
306,Brae,GB,60.3964,-1.353,40.91,79,100,11.43,overcast clouds
307,Ostrovnoy,RU,68.0531,39.5131,20.12,91,100,7.18,overcast clouds
308,Lakselv,NO,70.0513,24.9718,29.75,93,90,20.71,snow
309,Xuddur,SO,4.1213,43.8894,86.0,30,100,11.23,overcast clouds
310,Goderich,CA,43.7501,-81.7165,29.91,67,100,28.03,overcast clouds
311,Fairmont,US,39.4851,-80.1426,38.39,59,84,3.0,broken clouds
312,Sinnamary,GF,5.3833,-52.95,75.29,96,100,8.66,moderate rain
313,Mahanoro,MG,-19.9,48.8,79.38,91,93,11.25,overcast clouds
314,San Andres,CO,12.5847,-81.7006,84.22,74,20,5.75,few clouds
315,Omboue,GA,-1.5746,9.2618,80.17,86,98,7.74,light rain
316,Pangnirtung,CA,66.1451,-65.7125,17.6,79,90,8.05,light snow
317,Joue-Les-Tours,FR,47.3522,0.6691,32.34,93,100,5.75,overcast clouds
318,Camacha,PT,33.0833,-16.3333,67.53,83,40,11.5,scattered clouds
319,Mangan,IN,27.5167,88.5333,50.32,44,19,6.11,few clouds
320,Bousso,TD,10.4795,16.7117,85.69,20,19,7.25,few clouds
321,Shubarkuduk,KZ,49.1447,56.4872,22.66,83,100,5.84,overcast clouds
322,Sabha,LY,27.0377,14.4283,54.86,26,100,2.33,overcast clouds
323,Santo Tomas,PH,14.1079,121.1414,77.25,93,100,3.27,overcast clouds
324,Mehamn,NO,71.0357,27.8492,26.78,86,75,23.02,light shower snow
325,Ulu-Telyak,RU,54.9086,56.9669,1.98,99,100,2.66,overcast clouds
326,Kutum,SD,14.2,24.6667,66.11,18,3,10.58,clear sky
327,Ugoofaaru,MV,5.6667,73.0,81.23,76,65,10.96,broken clouds
328,Saint-Joseph,RE,-21.3667,55.6167,75.58,83,97,9.06,overcast clouds
329,Neuquen,AR,-38.9516,-68.0591,84.09,32,0,6.91,clear sky
330,Sayyan,YE,15.1718,44.3244,56.34,32,4,3.42,clear sky
331,Puerto Ayacucho,VE,5.6639,-67.6236,91.18,48,60,2.98,broken clouds
332,Krasnovishersk,RU,60.4078,57.082,0.77,99,98,2.44,overcast clouds
333,Manono,CD,-7.3,27.4167,74.01,91,98,1.03,overcast clouds
334,Semey,KZ,50.4111,80.2275,22.82,81,40,17.05,scattered clouds
335,Teeli,RU,51.0333,90.2333,0.64,88,14,2.71,few clouds
336,Atocha,BO,-20.9333,-66.2333,50.52,74,100,9.84,overcast clouds
337,Somovo,RU,51.741,39.3665,1.9,85,90,11.18,light snow
338,Tallahassee,US,30.4383,-84.2807,57.92,63,1,1.99,clear sky
339,Klaksvik,FO,62.2266,-6.589,32.92,66,96,15.73,overcast clouds
340,Damavand,IR,35.7178,52.065,35.44,66,1,4.14,clear sky
341,Saint Anthony,US,45.0205,-93.218,21.31,75,90,4.0,overcast clouds
342,Rameswaram,IN,9.2833,79.3,79.09,68,17,15.7,few clouds
343,Mandiana,GN,10.6333,-8.6833,91.29,12,60,8.61,broken clouds
