City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Basoda,IN,2021-12-21 13:24:01,23.85,77.9333,62.01,27,0,2.82
166,Grindavik,IS,2021-12-21 13:24:01,63.8424,-22.4338,37.87,93,75,8.05
167,Zdvinsk,RU,2021-12-21 13:24:01,54.7021,78.661,6.33,98,98,5.53
168,Miandoab,IR,2021-12-21 13:24:02,36.9694,46.1027,41.38,65,12,18.75
169,La Rioja,ES,2021-12-21 13:24:02,42.25,-2.5,53.04,70,100,4.27
170,Shu,KZ,2021-12-21 13:24:03,43.5983,73.7614,45.32,50,0,6.51
171,San Ramon De La Nueva Oran,AR,2021-12-21 13:24:03,-23.1322,-64.326,85.37,61,100,1.97
172,Morant Bay,JM,2021-12-21 13:24:04,17.8815,-76.4093,78.62,80,44,6.04
173,Lere,NG,2021-12-21 13:24:04,10.387,8.5726,85.77,17,3,9.53
174,Bardiyah,LY,2021-12-21 13:24:05,31.7561,25.0865,62.11,60,2,19.06
175,Yar-Sale,RU,2021-12-21 13:24:05,66.8333,70.8333,-6.54,97,100,11.54
176,Oistins,BB,2021-12-21 13:24:06,13.0667,-59.5333,84.29,70,20,21.85
177,Kapoeta,SS,2021-12-21 13:24:06,4.7717,33.5903,89.74,35,100,15.75
178,Naro,IT,2021-12-21 13:24:07,37.2935,13.7936,56.91,63,15,4.63
179,Los Llanos De Aridane,ES,2021-12-21 13:24:07,28.6585,-17.9182,73.15,94,20,5.01
180,Nara,JP,2021-12-21 13:25:07,34.6851,135.8049,54.68,67,4,3.56
181,Tabasalu,EE,2021-12-21 13:25:07,59.4303,24.5331,18.72,79,75,10.36
182,Veinticinco De Mayo,AR,2021-12-21 13:25:08,-35.4323,-60.1727,77.05,57,60,11.12
183,Zuya,UA,2021-12-21 13:25:08,45.0531,34.3154,31.55,69,80,14.79
184,Batetskiy,RU,2021-12-21 13:25:09,58.6461,30.3027,11.08,92,100,5.73
185,Kaltasy,RU,2021-12-21 13:25:09,55.9693,54.8032,29.77,99,100,1.7
